,R2_mean,R2_std,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MSE_mean,MSE_std,Train_R2_mean,Train_R2_std
Linear Regression,0.9559446480532259,0.022414667434196376,3.4716095130321447,0.8687981489720044,2.3635126336057097,0.19664089026604858,12.806882834632466,7.148322300258109,0.9583623326521142,0.00218931989903426
Ridge (a=1.0),0.9559459262755199,0.02239633728764261,3.471679964643954,0.868217743626532,2.363903427080243,0.1966308734051182,12.806363827258195,7.142791297113982,0.9583623126532658,0.0021893199997846204
Lasso (a=0.1),0.955821501318901,0.02208326522546146,3.4790398230627395,0.857431900375935,2.3918034436628504,0.19682384463943278,12.838907554238707,7.048974021866766,0.9581679162971748,0.0021899235567453823
ElasticNet,0.95585048458529,0.02106649192693178,3.4845509784494544,0.8247878025984422,2.405471350331873,0.19549317549425346,12.822370440728221,6.743041709365898,0.9581569063607922,0.0021922451051887303
Random Forest,0.9896439351564817,0.00319747844510484,1.6972433832863092,0.25208631317522395,1.161173273235545,0.1395705876602691,2.9441826113994347,0.8843023727066928,0.9986865300305412,3.6478564837006945e-05
Gradient Boosting,0.9899712380508514,0.002563717077030657,1.6769708334602427,0.20004833389880972,1.1776006733581417,0.11406472728756686,2.8522505121720316,0.6995576352079528,0.9977358094950015,8.358827805727504e-05
SVR (RBF),0.9945761789510174,0.0009616900539649195,1.2404189889265673,0.12256762547017207,0.8562713336169783,0.04386101403053743,1.5536620909030043,0.31223348080074076,0.9962243006451317,0.00010736426982434692
XGBoost,0.9904269924129425,0.002736048206476657,1.6350685646033665,0.21232206791482894,1.1301062075180528,0.12678409182442035,2.7185298714777426,0.7409136738013397,0.9979844647296735,0.0007321668876192708
