,R² (mean ± std),RMSE (mean ± std),MAE (mean ± std),Train R²
Linear Regression,0.9559 ± 0.0224,3.472 ± 0.869,2.364 ± 0.197,0.9584 ± 0.0022
Ridge (a=1.0),0.9559 ± 0.0224,3.472 ± 0.868,2.364 ± 0.197,0.9584 ± 0.0022
Lasso (a=0.1),0.9558 ± 0.0221,3.479 ± 0.857,2.392 ± 0.197,0.9582 ± 0.0022
ElasticNet,0.9559 ± 0.0211,3.485 ± 0.825,2.405 ± 0.195,0.9582 ± 0.0022
Random Forest,0.9896 ± 0.0032,1.697 ± 0.252,1.161 ± 0.140,0.9987 ± 0.0000
Gradient Boosting,0.9900 ± 0.0026,1.677 ± 0.200,1.178 ± 0.114,0.9977 ± 0.0001
SVR (RBF),0.9946 ± 0.0010,1.240 ± 0.123,0.856 ± 0.044,0.9962 ± 0.0001
XGBoost,0.9904 ± 0.0027,1.635 ± 0.212,1.130 ± 0.127,0.9980 ± 0.0007
